word,missing_cefr,source_pos,source_def_idx,sense_text,badge
icon,C2,noun,3,a painting or statue of a holy person that is also thought of as a holy object,B2
identify,B1,verb,2,to find or discover somebody/something,A2
immature,B2,adjective,1,behaving in a way that is not sensible and is typical of people who are much younger,
immune,C1,adjective,2,"not affected by something, especially something that you might expect to be harmful",B2
immune,C1,adjective,3,protected from something and therefore able to avoid it,B2
implication,C1,noun,2,something that is suggested or indirectly stated (= something that is implied),B2
implicit,C1,adjective,1,suggested without being directly expressed,
imply,C2,verb,3,to make something necessary in order to be successful,B2
incentive,C1,noun,2,a payment or concession (= a reduction in the amount of money that has to be paid) that encourages somebody to do someth,B2
inconvenience,C1,noun,1,"trouble or problems, especially in connection with what you need or would like yourself",
inconvenience,C1,noun,2,a person or thing that causes problems or difficulties,
indeed,B2,adverb,3,used to add information to a statement,B1
index,C1,noun,3,"a system that shows the level of prices and wages, etc. so that they can be compared with those of a previous date",B2
index,C1,noun,5,a sign or measure that something else can be judged by,B2
index,C2,noun,7,the small number written above a larger number to show how many times that number must be multiplied by itself. In the e,B2
indictment,C2,noun,2,an official statement accusing somebody of a crime,C1
induce,C2,verb,3,to make a woman start giving birth to her baby by giving her special drugs; to make a baby start being born by giving th,C1
infer,C2,verb,2,to suggest indirectly that something is true,B2
inherit,C1,verb,3,"if you inherit a particular situation from somebody, you are now responsible for dealing with it, especially because you",B2
ink,C2,noun,2,a tattoo or tattoos (= pictures or designs marked permanently on a person's skin),B2
ink,C2,verb,1,to cover something with ink so that it can be used for printing,B2
ink,C2,verb,2,"to sign a document, especially a contract",B2
ink,C2,verb,3,to mark somebody's skin with a tattoo (= a picture or design marked permanently in ink),B2
insecurity,C1,noun,1,a lack of confidence about yourself or your relationships with other people; something that makes you feel like this,
inspector,C1,noun,2,"a person whose job is to visit schools, factories, etc. to check that rules are being obeyed and that standards are acce",B2
installation,C1,noun,2,a piece of equipment or a machine that has been fixed in position so that it can be used,B2
installation,C2,noun,6,"a piece of modern sculpture that is made using sound, light, etc. as well as objects",B2
integrate,C1,verb,2,"to become or make somebody become accepted as a member of a social group, especially when they come from a different cul",B2
interact,C1,verb,2,"if one thing interacts with another, or if two things interact, the two things have an effect on each other",B2
interaction,C1,noun,2,"if one thing has an interaction with another, or if there is an interaction between two things, the two things have an e",B2
interference,C2,noun,2,"interruption of a radio signal by another signal on a similar wavelength, causing extra noise that is not wanted",C1
